Category,Resume,candidate_num
Advocate,"TECHNICAL QUALIFICATIONS: â¢ Windows, Ms. OfficeEducation Details 
 LL.B  Guwahati, Assam University Law College, Guwahati University
 B.Sc  Jagiroad, ASSAM, IN Jagiroad College
    Morigaon College
Advocate 

Advocate - Gauhati High Court
Skill Details 
Company Details 
company - Gauhati High Court
description - of the Gauhati High Court and other subordinate Courts and Tribunals and Statutory Bodies in Guwahati from 2008. Numerous experiences of Civil, Criminal cases, cases under consumer forum.
â¢ Handling a good number of Civil as well as Criminal Matters in District & Sessions Judge Court, Judge Court, C.J.M. Court, and Consumer Forum & also in the High Court.
â¢ Working as Executive (Legal) at Hindustan Paper Corporation Limited (A Govt. of India Enterprise), Nagaon Paper Mill since Jan '2012.
STRENGTH: 
â¢ Adaptability: A penchant to adapt to the conditions & level of the environment accordance with the requirement of the given situation.
â¢ Interpersonal: An extrovert to the core, prefer to interact with people of all walks of life and varying strata of society. Ability to quickly establish rapport with others.
â¢ Team Work: Enjoy being a part of a group & achieve combined goals.
ROLES AND RESPONSIBILITIES AT HPC LTD 
â¢ Assisting in briefing counsels on matters relating to Nagaon Paper Mill, Cachar Paper Mill and also Nagaland Pulp and Paper Corporation Ltd.
â¢ The task of legal vetting in all NIBs/NITs terms and conditions etc.
â¢ Providing Legal views to protect the interest of the Corporation.
â¢ Assisting in formulation and drafting of all Disciplinary matters.
â¢ Liaisoning with all local bodies and also other forums.",Applicant 1
Advocate,"Education Details 
 B.Com, LL.B.,   University of Clacutta, University of Burdwan
ADVOCATE 


Skill Details 
Taxation matters Income Tax GST P Tax Accounts- Exprience - Less than 1 year months
Filing of Income Tax Returns GST Returns e-TDS AIR and more- Exprience - Less than 1 year monthsCompany Details 
company - own practice
description - 1. Drafting and preparation of plaint, Accounts and move before relevant Authority to hear the cases",Applicant 2
Advocate,"Education Details 
 LLB.   Dibrugarh University
Advocate 


Skill Details 
Legal.- Exprience - Less than 1 year monthsCompany Details 
company - Legal.
description - â¢ Advocate",Applicant 3
Advocate,"Education Details 
November 2016 to January 2019 Llm Masters in Law Hyderabad, Telangana Sultan Ul Uloom College Of Law
September 2011 to May 2016 BA.llb Bachelors in Law Hyderabad, Telangana Osmania University PG College Of Law
Advocate 

Experienced in Litigation, Recently Acquired Masters Degree in Law
Skill Details 
Microsoft word- Exprience - Less than 1 year months
litigation- Exprience - Less than 1 year months
Legal Research- Exprience - Less than 1 year months
Contracts- Exprience - Less than 1 year months
Internet Savvy- Exprience - Less than 1 year months
Drafting- Exprience - Less than 1 year monthsCompany Details 
company - LRC Office
description - â¢ Working under Senior Advocate L Ravichander in the High Court of Telangana.
â¢ Experience in drafting
â¢ Legal Correspondence",Applicant 4
Advocate,"SKILLS â¢ Knows English as native speaker (IELTS Overall 8; Listening 8, Reading 8, Writing 7 and Speaking 8.5); Hindi with bilingual proficiency and Punjabi as native speaker. â¢ Able to communicate clearly and concisely with people of diverse backgrounds and levels of authority. â¢ Exceptional knowledge of administrative procedures, evidence rules and trials. â¢ Can maintain a professional attitude with peers, co-workers and clients at all times. â¢ Focused and driven to always meet deadlines for pretrial procedures, trials and appellate briefings by effectively utilizing resources. â¢ A Microsoft Certified Systems Engineer (2008) and very much Competent in Windows and Word processing software Education Details 
July 2009 to May 2012 Bachelor's Laws Bikaner, Rajasthan Maharaja Ganga Singh University
August 2008 to November 2008 Microsoft Certified Systems Engineer Networking Chandigarh 
July 2005 to April 2008 Bachelor's of Science Bio-Informatics Chandigarh, Chandigarh Panjab University
Advocate 

Newcomer Indian Advocate
Skill Details 
Administration- Exprience - 72 months
Legal Research- Exprience - 72 months
Microsoft Office- Exprience - 72 months
Drafting- Exprience - 72 monthsCompany Details 
company - District Courts
description - Key Features

â¢ Licensed Advocate in practice from 16-Aug-2012 (Bar Council of Punjab & Haryana, Chandigarh).
â¢ Admitted to practice at District Courts, Mansa since 18-Aug-2012.
â¢ Successfully passed the All India Bar Examination (AIBE) conducted by Bar Council of India (BCI) in September, 2013.
â¢ Lead/Sole Counsel for plaintiff and respondents in number of criminal/civil trials.
â¢ Since 2012, have prepared and prosecuted to conclusion, either by trial or settlement, number of claim cases involving personal injury or death cases.
â¢ Working on the Panel of District Legal Services Authority, Mansa run under the supervision of National Legal Services Authority, India.
â¢ Former Co-Opted Member Administrative Committee, Punjab.
â¢ Former Joint Secretary at District Bar Association, Mansa (2017-18).

Job Duties

â¢ Advice clients of their legal rights and all matters related to law.
â¢ Plead clients' cases which include various International companies, before courts of law, forums, tribunals and boards.
â¢ Researching legal precedents, gathering evidence and trials of criminal, Injury and death compensation claims and others.
â¢ Draw up legal documents such as bail petitions, appeals, divorces and contracts etc.
â¢ Negotiates settlements of civil disputes.
â¢ Act as mediator, conciliator, local commissioner or arbitrator as per Court orders
â¢ Managing a private practice for more than 6 years, including all aspects of administration and management functions, controlling costs and achieving objectives related to the practice of law.",Applicant 5
Advocate,"QUALIFICATION: Introduction to Computer EXTRAEducation Details 
January 2001 to January 2003 Master Law Chennai, Tamil Nadu Dr.Ambedkar Law University
January 1998 to January 2001 Bachelor Law Chennai, Tamil Nadu Dr. Ambedkar Law University
January 1995 to January 1998 Bachelor English Literature Tirunelveli, Tamil Nadu Manonmaniam Sundaranar university
Advocate 

Advocate
Skill Details 
Company Details 
company - Practiced
description - at

* High Court of Judicature at Madras, India

* City Civil Court, Chennai

* Debt Recovery Tribunal, Chennai

* Consumer Forums, Chennai

* Labour Courts

* Small Causes Courts

* Rent control Courts
* Legal advisor for Christian Institute of Management, Chennai in 2016
* Legal Advisor for Ruah church, Chennai and NESSA Trust till 2018",Applicant 6
Advocate,"Skills: Natural Languages: Proficient in English, Hindi and Marathi. Computer skills: Proficient with MS-Office, Internet operation.Education Details 
January 2015 to January 2018 LLB Law Mumbai, Maharashtra Mumbai university
January 2015 B.M.M  Mumbai, Maharashtra S.K.Somaiya College, Mumbai University
 H.S.C   Asmita Girls junior College, Maharashtra Board
 S.S.C Vidya Bhawan  Maharashtra Board
Advocate 

Llb student and Journalist
Skill Details 
Company Details 
company - Criminal lawyer (law firm)
description - ",Applicant 7
Advocate,"Skills Legal Writing Efficient researcher Legal Education Family Law Criminal Defence Environment law and litigation Business legal issue Banking Law and commercial lawEducation Details 
January 2014 LLM Criminology Pune, Maharashtra University of Pune
January 2012 LLB Law Pune, Maharashtra University of Pune
January 2012 Diploma Labour Law Pune, Maharashtra University of Pune
Advocate 

Advocate
Skill Details 
LEGAL WRITING- Exprience - 6 months
LITIGATION- Exprience - 6 monthsCompany Details 
company - Family, Criminal in District and Session Court
description - Legal consultancy services for
Co-operative Banks, Scheduled Banks and Private Banks
Clients
Federal Bank (Chinchwad, Pune)
Bharat Co-Operative Bank (Chinchwad, Pune)
ICICI Bank

Scope of work
Finalising Loan Agreements,
Mortgage agreement, Release Deed  and Notice of Intimation,
Title Deed, Search Report
DRT cases
Legal notices for recovery of dues,
Filing Summary suits
Paper Notice,
Power of Attorney
Indemnity bond

Family Law
Legal Consultancy and representation for matters relating to Family disputes such as Marriage and Divorce, Succession, Adoption etc.
Lok Adalat
Panel Judicial Member - Four Times",Applicant 8
Advocate,"Good grasping quality and skillful work Education Details 
March 2013 to March 2018 B. A. LL. B. Law Solapur, Maharashtra Solapur University
Advocate 


Skill Details 
Good knowledge of typing as well as many other activities- Exprience - Less than 1 year monthsCompany Details 
company - District and Session court of solapur
description - Forward thinking individual with refined interpersonal and multitasking skills. Looking to join a progressive organization to provide assistance in Legal work.
company - District and Session court of solapur
description - Provide legal assistance in legal work",Applicant 9
Advocate,"â¢ Hard working â¢ Quick learnerEducation Details 
June 2014 to May 2017 LLB LAW Mumbai, Maharashtra mumbai university
January 2014 B.Com Commerce Mumbai, Maharashtra Mumbai university
January 2011 HSC   Maharashtra board
January 2009 SSC   Maharashtra board
Advocate 


Skill Details 
Company Details 
company - The vidishtra
description - ",Applicant 10
Advocate,"TECHNICAL QUALIFICATIONS: â¢ Windows, Ms. OfficeEducation Details 
 LL.B  Guwahati, Assam University Law College, Guwahati University
 B.Sc  Jagiroad, ASSAM, IN Jagiroad College
    Morigaon College
Advocate 

Advocate - Gauhati High Court
Skill Details 
Company Details 
company - Gauhati High Court
description - of the Gauhati High Court and other subordinate Courts and Tribunals and Statutory Bodies in Guwahati from 2008. Numerous experiences of Civil, Criminal cases, cases under consumer forum.
â¢ Handling a good number of Civil as well as Criminal Matters in District & Sessions Judge Court, Judge Court, C.J.M. Court, and Consumer Forum & also in the High Court.
â¢ Working as Executive (Legal) at Hindustan Paper Corporation Limited (A Govt. of India Enterprise), Nagaon Paper Mill since Jan '2012.
STRENGTH: 
â¢ Adaptability: A penchant to adapt to the conditions & level of the environment accordance with the requirement of the given situation.
â¢ Interpersonal: An extrovert to the core, prefer to interact with people of all walks of life and varying strata of society. Ability to quickly establish rapport with others.
â¢ Team Work: Enjoy being a part of a group & achieve combined goals.
ROLES AND RESPONSIBILITIES AT HPC LTD 
â¢ Assisting in briefing counsels on matters relating to Nagaon Paper Mill, Cachar Paper Mill and also Nagaland Pulp and Paper Corporation Ltd.
â¢ The task of legal vetting in all NIBs/NITs terms and conditions etc.
â¢ Providing Legal views to protect the interest of the Corporation.
â¢ Assisting in formulation and drafting of all Disciplinary matters.
â¢ Liaisoning with all local bodies and also other forums.",Applicant 11
Advocate,"Education Details 
 B.Com, LL.B.,   University of Clacutta, University of Burdwan
ADVOCATE 


Skill Details 
Taxation matters Income Tax GST P Tax Accounts- Exprience - Less than 1 year months
Filing of Income Tax Returns GST Returns e-TDS AIR and more- Exprience - Less than 1 year monthsCompany Details 
company - own practice
description - 1. Drafting and preparation of plaint, Accounts and move before relevant Authority to hear the cases",Applicant 12
Advocate,"Education Details 
 LLB.   Dibrugarh University
Advocate 


Skill Details 
Legal.- Exprience - Less than 1 year monthsCompany Details 
company - Legal.
description - â¢ Advocate",Applicant 13
Advocate,"Education Details 
November 2016 to January 2019 Llm Masters in Law Hyderabad, Telangana Sultan Ul Uloom College Of Law
September 2011 to May 2016 BA.llb Bachelors in Law Hyderabad, Telangana Osmania University PG College Of Law
Advocate 

Experienced in Litigation, Recently Acquired Masters Degree in Law
Skill Details 
Microsoft word- Exprience - Less than 1 year months
litigation- Exprience - Less than 1 year months
Legal Research- Exprience - Less than 1 year months
Contracts- Exprience - Less than 1 year months
Internet Savvy- Exprience - Less than 1 year months
Drafting- Exprience - Less than 1 year monthsCompany Details 
company - LRC Office
description - â¢ Working under Senior Advocate L Ravichander in the High Court of Telangana.
â¢ Experience in drafting
â¢ Legal Correspondence",Applicant 14
Advocate,"SKILLS â¢ Knows English as native speaker (IELTS Overall 8; Listening 8, Reading 8, Writing 7 and Speaking 8.5); Hindi with bilingual proficiency and Punjabi as native speaker. â¢ Able to communicate clearly and concisely with people of diverse backgrounds and levels of authority. â¢ Exceptional knowledge of administrative procedures, evidence rules and trials. â¢ Can maintain a professional attitude with peers, co-workers and clients at all times. â¢ Focused and driven to always meet deadlines for pretrial procedures, trials and appellate briefings by effectively utilizing resources. â¢ A Microsoft Certified Systems Engineer (2008) and very much Competent in Windows and Word processing software Education Details 
July 2009 to May 2012 Bachelor's Laws Bikaner, Rajasthan Maharaja Ganga Singh University
August 2008 to November 2008 Microsoft Certified Systems Engineer Networking Chandigarh 
July 2005 to April 2008 Bachelor's of Science Bio-Informatics Chandigarh, Chandigarh Panjab University
Advocate 

Newcomer Indian Advocate
Skill Details 
Administration- Exprience - 72 months
Legal Research- Exprience - 72 months
Microsoft Office- Exprience - 72 months
Drafting- Exprience - 72 monthsCompany Details 
company - District Courts
description - Key Features

â¢ Licensed Advocate in practice from 16-Aug-2012 (Bar Council of Punjab & Haryana, Chandigarh).
â¢ Admitted to practice at District Courts, Mansa since 18-Aug-2012.
â¢ Successfully passed the All India Bar Examination (AIBE) conducted by Bar Council of India (BCI) in September, 2013.
â¢ Lead/Sole Counsel for plaintiff and respondents in number of criminal/civil trials.
â¢ Since 2012, have prepared and prosecuted to conclusion, either by trial or settlement, number of claim cases involving personal injury or death cases.
â¢ Working on the Panel of District Legal Services Authority, Mansa run under the supervision of National Legal Services Authority, India.
â¢ Former Co-Opted Member Administrative Committee, Punjab.
â¢ Former Joint Secretary at District Bar Association, Mansa (2017-18).

Job Duties

â¢ Advice clients of their legal rights and all matters related to law.
â¢ Plead clients' cases which include various International companies, before courts of law, forums, tribunals and boards.
â¢ Researching legal precedents, gathering evidence and trials of criminal, Injury and death compensation claims and others.
â¢ Draw up legal documents such as bail petitions, appeals, divorces and contracts etc.
â¢ Negotiates settlements of civil disputes.
â¢ Act as mediator, conciliator, local commissioner or arbitrator as per Court orders
â¢ Managing a private practice for more than 6 years, including all aspects of administration and management functions, controlling costs and achieving objectives related to the practice of law.",Applicant 15
